filename,first_commit,latest_commit,forecast_date,source,indicator,model,diff,retrospective
2024-08-08-agi-are-KIT-hhh4.csv,2024-10-15,2025-06-10,2024-08-08,agi,are,KIT-hhh4,306 days,True
2024-08-15-agi-are-KIT-hhh4.csv,2024-10-15,2025-06-10,2024-08-15,agi,are,KIT-hhh4,299 days,True
2024-08-22-agi-are-KIT-hhh4.csv,2024-10-15,2025-06-10,2024-08-22,agi,are,KIT-hhh4,292 days,True
2024-08-29-agi-are-KIT-hhh4.csv,2024-10-15,2025-06-10,2024-08-29,agi,are,KIT-hhh4,285 days,True
2024-09-05-agi-are-KIT-hhh4.csv,2024-10-15,2025-06-10,2024-09-05,agi,are,KIT-hhh4,278 days,True
2024-09-12-agi-are-KIT-hhh4.csv,2024-10-15,2025-06-10,2024-09-12,agi,are,KIT-hhh4,271 days,True
2024-09-19-agi-are-KIT-hhh4.csv,2024-10-15,2025-06-10,2024-09-19,agi,are,KIT-hhh4,264 days,True
2024-09-26-agi-are-KIT-hhh4.csv,2024-10-15,2025-06-10,2024-09-26,agi,are,KIT-hhh4,257 days,True
2024-10-03-agi-are-KIT-hhh4.csv,2024-10-15,2025-06-10,2024-10-03,agi,are,KIT-hhh4,250 days,True
2024-10-10-agi-are-KIT-hhh4.csv,2024-10-15,2025-06-10,2024-10-10,agi,are,KIT-hhh4,243 days,True
2024-10-17-agi-are-KIT-hhh4.csv,2024-10-17,2025-06-10,2024-10-17,agi,are,KIT-hhh4,236 days,True
2024-10-24-agi-are-KIT-hhh4.csv,2024-10-24,2025-06-10,2024-10-24,agi,are,KIT-hhh4,229 days,True
2024-10-31-agi-are-KIT-hhh4.csv,2024-11-01,2025-06-10,2024-10-31,agi,are,KIT-hhh4,222 days,True
2024-11-07-agi-are-KIT-hhh4.csv,2024-11-07,2025-06-10,2024-11-07,agi,are,KIT-hhh4,215 days,True
2024-11-14-agi-are-KIT-hhh4.csv,2024-11-15,2025-06-10,2024-11-14,agi,are,KIT-hhh4,208 days,True
2024-11-21-agi-are-KIT-hhh4.csv,2024-11-21,2025-06-10,2024-11-21,agi,are,KIT-hhh4,201 days,True
2024-11-28-agi-are-KIT-hhh4.csv,2024-11-29,2025-06-10,2024-11-28,agi,are,KIT-hhh4,194 days,True
2024-12-05-agi-are-KIT-hhh4.csv,2024-12-05,2025-06-10,2024-12-05,agi,are,KIT-hhh4,187 days,True
2024-12-12-agi-are-KIT-hhh4.csv,2024-12-13,2025-06-10,2024-12-12,agi,are,KIT-hhh4,180 days,True
2024-12-19-agi-are-KIT-hhh4.csv,2024-12-20,2025-06-10,2024-12-19,agi,are,KIT-hhh4,173 days,True
2024-12-26-agi-are-KIT-hhh4.csv,2025-06-10,2025-06-10,2024-12-26,agi,are,KIT-hhh4,166 days,True
2025-01-02-agi-are-KIT-hhh4.csv,2025-06-10,2025-06-10,2025-01-02,agi,are,KIT-hhh4,159 days,True
2025-01-09-agi-are-KIT-hhh4.csv,2025-01-10,2025-06-10,2025-01-09,agi,are,KIT-hhh4,152 days,True
2025-01-16-agi-are-KIT-hhh4.csv,2025-01-17,2025-06-10,2025-01-16,agi,are,KIT-hhh4,145 days,True
2025-01-23-agi-are-KIT-hhh4.csv,2025-01-24,2025-06-10,2025-01-23,agi,are,KIT-hhh4,138 days,True
2025-01-30-agi-are-KIT-hhh4.csv,2025-01-31,2025-06-10,2025-01-30,agi,are,KIT-hhh4,131 days,True
2025-02-06-agi-are-KIT-hhh4.csv,2025-02-07,2025-06-10,2025-02-06,agi,are,KIT-hhh4,124 days,True
2025-02-13-agi-are-KIT-hhh4.csv,2025-02-14,2025-06-10,2025-02-13,agi,are,KIT-hhh4,117 days,True
2025-02-20-agi-are-KIT-hhh4.csv,2025-02-21,2025-06-10,2025-02-20,agi,are,KIT-hhh4,110 days,True
2025-02-27-agi-are-KIT-hhh4.csv,2025-02-28,2025-06-10,2025-02-27,agi,are,KIT-hhh4,103 days,True
2025-03-06-agi-are-KIT-hhh4.csv,2025-03-06,2025-06-10,2025-03-06,agi,are,KIT-hhh4,96 days,True
2025-03-13-agi-are-KIT-hhh4.csv,2025-03-14,2025-06-10,2025-03-13,agi,are,KIT-hhh4,89 days,True
2025-03-20-agi-are-KIT-hhh4.csv,2025-03-20,2025-06-10,2025-03-20,agi,are,KIT-hhh4,82 days,True
2025-03-27-agi-are-KIT-hhh4.csv,2025-03-28,2025-06-10,2025-03-27,agi,are,KIT-hhh4,75 days,True
2025-05-22-agi-are-KIT-hhh4.csv,2025-06-10,2025-06-10,2025-05-22,agi,are,KIT-hhh4,19 days,True
2024-07-04-agi-are-KIT-simple_nowcast.csv,2024-10-15,2024-10-15,2024-07-04,agi,are,KIT-simple_nowcast,103 days,True
