model,target_type,forecast_date,target_end_date,location,age_group,pathogen,mean,q0.025,q0.25,q0.5,q0.75,q0.975,retrospective
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE-HE,00+,seasonal_influenza_survstat,2330,2289,2306,2323,2346,2412,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE-HE,00+,seasonal_influenza_survstat,2286,2265,2275,2283,2294,2322,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE-HE,00+,seasonal_influenza_survstat,2052,2044,2049,2051,2055,2063,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE-HH,00+,seasonal_influenza_survstat,460,361,411,449,498,619,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE-HH,00+,seasonal_influenza_survstat,517,433,469,503,550,679,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE-HH,00+,seasonal_influenza_survstat,941,877,906,932,966,1058,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE-HH,00+,seasonal_influenza_survstat,1127,1087,1104,1120,1142,1202,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE-HH,00+,seasonal_influenza_survstat,883,866,873,879,889,917,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE-MV,00+,seasonal_influenza_survstat,500,427,443,473,528,723,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE-MV,00+,seasonal_influenza_survstat,808,766,766,766,781,1177,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE-MV,00+,seasonal_influenza_survstat,2011,1973,1973,1973,1986,2341,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE-MV,00+,seasonal_influenza_survstat,2916,2890,2890,2890,2903,3134,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE-MV,00+,seasonal_influenza_survstat,2682,2671,2671,2671,2676,2771,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE-NI,00+,seasonal_influenza_survstat,1137,1000,1072,1124,1188,1345,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE-NI,00+,seasonal_influenza_survstat,1531,1477,1501,1523,1552,1633,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE-NI,00+,seasonal_influenza_survstat,3783,3746,3759,3775,3797,3863,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE-NI,00+,seasonal_influenza_survstat,3712,3694,3698,3705,3720,3771,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE-NI,00+,seasonal_influenza_survstat,3213,3207,3208,3210,3215,3237,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE-NW,00+,seasonal_influenza_survstat,2697,2335,2526,2665,2833,3244,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE-NW,00+,seasonal_influenza_survstat,3256,3015,3126,3222,3350,3691,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE-NW,00+,seasonal_influenza_survstat,7828,7635,7724,7801,7902,8172,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE-NW,00+,seasonal_influenza_survstat,7487,7391,7434,7473,7524,7665,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-11,DE-NW,00+,seasonal_influenza_survstat,5607,5572,5586,5601,5621,5682,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-08,DE-RP,00+,seasonal_influenza_survstat,1200,1050,1097,1160,1260,1576,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2023-01-01,DE-RP,00+,seasonal_influenza_survstat,990,913,926,956,1018,1257,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-25,DE-RP,00+,seasonal_influenza_survstat,2512,2459,2462,2479,2527,2752,FALSE
KIT-simple_nowcast,inc case,2023-01-08,2022-12-18,DE-RP,00+,seasonal_influenza_survstat,2385,2374,2376,2380,2389,2422,FALSE
