location,age_group,year,week,date,value
DE,60-79,2024,52,2024-12-29,16
DE,80+,2024,21,2024-05-26,11
DE,80+,2024,22,2024-06-02,14
DE,80+,2024,23,2024-06-09,9
DE,80+,2024,24,2024-06-16,7
DE,80+,2024,25,2024-06-23,7
DE,80+,2024,26,2024-06-30,9
DE,80+,2024,27,2024-07-07,9
DE,80+,2024,28,2024-07-14,5
DE,80+,2024,29,2024-07-21,2
DE,80+,2024,30,2024-07-28,3
DE,80+,2024,31,2024-08-04,3
DE,80+,2024,32,2024-08-11,1
DE,80+,2024,33,2024-08-18,2
DE,80+,2024,34,2024-08-25,4
DE,80+,2024,35,2024-09-01,1
DE,80+,2024,36,2024-09-08,3
DE,80+,2024,37,2024-09-15,0
DE,80+,2024,38,2024-09-22,5
DE,80+,2024,39,2024-09-29,9
DE,80+,2024,40,2024-10-06,4
DE,80+,2024,41,2024-10-13,2
DE,80+,2024,42,2024-10-20,7
DE,80+,2024,43,2024-10-27,3
DE,80+,2024,44,2024-11-03,7
DE,80+,2024,45,2024-11-10,6
DE,80+,2024,46,2024-11-17,8
DE,80+,2024,47,2024-11-24,12
DE,80+,2024,48,2024-12-01,16
DE,80+,2024,49,2024-12-08,28
DE,80+,2024,50,2024-12-15,24
DE,80+,2024,51,2024-12-22,51
DE,80+,2024,52,2024-12-29,14
DE-BB-BE,00+,2024,21,2024-05-26,21
DE-BB-BE,00+,2024,22,2024-06-02,16
DE-BB-BE,00+,2024,23,2024-06-09,5
DE-BB-BE,00+,2024,24,2024-06-16,2
DE-BB-BE,00+,2024,25,2024-06-23,8
DE-BB-BE,00+,2024,26,2024-06-30,7
DE-BB-BE,00+,2024,27,2024-07-07,7
DE-BB-BE,00+,2024,28,2024-07-14,9
DE-BB-BE,00+,2024,29,2024-07-21,3
DE-BB-BE,00+,2024,30,2024-07-28,3
DE-BB-BE,00+,2024,31,2024-08-04,0
DE-BB-BE,00+,2024,32,2024-08-11,6
DE-BB-BE,00+,2024,33,2024-08-18,3
DE-BB-BE,00+,2024,34,2024-08-25,2
DE-BB-BE,00+,2024,35,2024-09-01,1
DE-BB-BE,00+,2024,36,2024-09-08,2
DE-BB-BE,00+,2024,37,2024-09-15,2
DE-BB-BE,00+,2024,38,2024-09-22,3
DE-BB-BE,00+,2024,39,2024-09-29,3
DE-BB-BE,00+,2024,40,2024-10-06,1
DE-BB-BE,00+,2024,41,2024-10-13,2
DE-BB-BE,00+,2024,42,2024-10-20,5
DE-BB-BE,00+,2024,43,2024-10-27,6
DE-BB-BE,00+,2024,44,2024-11-03,10
DE-BB-BE,00+,2024,45,2024-11-10,11
DE-BB-BE,00+,2024,46,2024-11-17,16
DE-BB-BE,00+,2024,47,2024-11-24,14
DE-BB-BE,00+,2024,48,2024-12-01,20
DE-BB-BE,00+,2024,49,2024-12-08,30
DE-BB-BE,00+,2024,50,2024-12-15,47
DE-BB-BE,00+,2024,51,2024-12-22,73
DE-BB-BE,00+,2024,52,2024-12-29,18
DE-BW,00+,2024,21,2024-05-26,5
DE-BW,00+,2024,22,2024-06-02,3
DE-BW,00+,2024,23,2024-06-09,7
DE-BW,00+,2024,24,2024-06-16,2
DE-BW,00+,2024,25,2024-06-23,5
DE-BW,00+,2024,26,2024-06-30,4
DE-BW,00+,2024,27,2024-07-07,10
DE-BW,00+,2024,28,2024-07-14,4
DE-BW,00+,2024,29,2024-07-21,3
DE-BW,00+,2024,30,2024-07-28,3
DE-BW,00+,2024,31,2024-08-04,3
DE-BW,00+,2024,32,2024-08-11,4
DE-BW,00+,2024,33,2024-08-18,2
DE-BW,00+,2024,34,2024-08-25,1
DE-BW,00+,2024,35,2024-09-01,2
DE-BW,00+,2024,36,2024-09-08,2
DE-BW,00+,2024,37,2024-09-15,0
DE-BW,00+,2024,38,2024-09-22,3
DE-BW,00+,2024,39,2024-09-29,4
DE-BW,00+,2024,40,2024-10-06,4
DE-BW,00+,2024,41,2024-10-13,8
DE-BW,00+,2024,42,2024-10-20,4
DE-BW,00+,2024,43,2024-10-27,4
DE-BW,00+,2024,44,2024-11-03,7
DE-BW,00+,2024,45,2024-11-10,9
DE-BW,00+,2024,46,2024-11-17,11
DE-BW,00+,2024,47,2024-11-24,14
DE-BW,00+,2024,48,2024-12-01,63
DE-BW,00+,2024,49,2024-12-08,45
DE-BW,00+,2024,50,2024-12-15,77
DE-BW,00+,2024,51,2024-12-22,70
DE-BW,00+,2024,52,2024-12-29,14
DE-BY,00+,2024,21,2024-05-26,6
DE-BY,00+,2024,22,2024-06-02,8
DE-BY,00+,2024,23,2024-06-09,3
DE-BY,00+,2024,24,2024-06-16,6
DE-BY,00+,2024,25,2024-06-23,3
DE-BY,00+,2024,26,2024-06-30,6
DE-BY,00+,2024,27,2024-07-07,4
DE-BY,00+,2024,28,2024-07-14,4
DE-BY,00+,2024,29,2024-07-21,6
DE-BY,00+,2024,30,2024-07-28,6
DE-BY,00+,2024,31,2024-08-04,5
DE-BY,00+,2024,32,2024-08-11,6
DE-BY,00+,2024,33,2024-08-18,5
DE-BY,00+,2024,34,2024-08-25,3
DE-BY,00+,2024,35,2024-09-01,2
DE-BY,00+,2024,36,2024-09-08,1
DE-BY,00+,2024,37,2024-09-15,4
DE-BY,00+,2024,38,2024-09-22,5
DE-BY,00+,2024,39,2024-09-29,5
DE-BY,00+,2024,40,2024-10-06,5
DE-BY,00+,2024,41,2024-10-13,4
DE-BY,00+,2024,42,2024-10-20,16
DE-BY,00+,2024,43,2024-10-27,12
DE-BY,00+,2024,44,2024-11-03,6
DE-BY,00+,2024,45,2024-11-10,19
DE-BY,00+,2024,46,2024-11-17,22
DE-BY,00+,2024,47,2024-11-24,22
DE-BY,00+,2024,48,2024-12-01,55
DE-BY,00+,2024,49,2024-12-08,49
DE-BY,00+,2024,50,2024-12-15,107
DE-BY,00+,2024,51,2024-12-22,128
DE-BY,00+,2024,52,2024-12-29,36
DE-HE,00+,2024,21,2024-05-26,5
DE-HE,00+,2024,22,2024-06-02,3
DE-HE,00+,2024,23,2024-06-09,2
DE-HE,00+,2024,24,2024-06-16,2
DE-HE,00+,2024,25,2024-06-23,1
DE-HE,00+,2024,26,2024-06-30,0
DE-HE,00+,2024,27,2024-07-07,1
DE-HE,00+,2024,28,2024-07-14,0
DE-HE,00+,2024,29,2024-07-21,0
DE-HE,00+,2024,30,2024-07-28,1
DE-HE,00+,2024,31,2024-08-04,0
DE-HE,00+,2024,32,2024-08-11,1
